Couch ID,Type of Birth
cc58e0899ee5dc10825c0366d1e53f9a,""
cc75fe411ea688c5698291625d885b87,""
cc8662b9ef2c28dbe9eb0a077f480c3f,Twin
cc9b07f818feac25838bb0b4e7138379,Second Twin
cc9b07f818feac25838bb0b4e71392ff,Twin
ccc9452b7600be8050dba4b5031df343,Second Twin
ccc9452b7600be8050dba4b5031dfa40,Twin
ccc9452b7600be8050dba4b503567cc6,Second Twin
ccc9452b7600be8050dba4b5035681f2,Twin
ccc9452b7600be8050dba4b503572a28,Second Twin
ccc9452b7600be8050dba4b503572c98,Twin
ccc9452b7600be8050dba4b50357691f,Second Twin
ccc9452b7600be8050dba4b50357750d,Twin
ccc9452b7600be8050dba4b503579521,Second Twin
ccc9452b7600be8050dba4b50357a3ab,Twin
ccc9452b7600be8050dba4b50357b2df,Second Twin
ccc9452b7600be8050dba4b50357b444,Twin
ccc9452b7600be8050dba4b503587ed1,Second Twin
ccc9452b7600be8050dba4b5035885a9,Twin
ccc9452b7600be8050dba4b503590c66,Second Twin
ccc9452b7600be8050dba4b503590eaf,Twin
ccc9452b7600be8050dba4b503592ba2,Second Twin
ccc9452b7600be8050dba4b503592c2c,Twin
ccc9452b7600be8050dba4b503594053,Second Twin
ccc9452b7600be8050dba4b503594d1f,Twin
ccc9452b7600be8050dba4b5035977bc,Second Twin
ccc9452b7600be8050dba4b503597e9c,Twin
ccc9452b7600be8050dba4b50359b359,""
ccc9452b7600be8050dba4b5035ac34e,""
ccc9452b7600be8050dba4b5035b55d3,""
ccc9452b7600be8050dba4b5035c760d,Second Twin
ccc9452b7600be8050dba4b5035c766e,Twin
ccc9452b7600be8050dba4b5035cd17c,Second Twin
ccc9452b7600be8050dba4b5035cdec5,Twin
ccc9452b7600be8050dba4b5035d8f16,Second Twin
ccc9452b7600be8050dba4b5035d9ca1,Twin
ccc9452b7600be8050dba4b5035e7590,Second Twin
ccc9452b7600be8050dba4b5035e80b3,Twin
ccc9452b7600be8050dba4b5035f5311,Second Twin
ccc9452b7600be8050dba4b5035f5f47,Twin
ccc9452b7600be8050dba4b5035f89eb,Second Twin
ccc9452b7600be8050dba4b5035f8b1d,Twin
ccc9452b7600be8050dba4b503d8ae0f,Second Twin
ccc9452b7600be8050dba4b503d8bb40,Twin
ccd34cc900eca9e12cb73241afe5c949,""
cce0e3853873c9a10a056ddcb253ebe3,""
ccfb87c74b37f72090b3ea44ef2d121e,Second Twin
ccfb87c74b37f72090b3ea44ef2d2192,Twin
ccfeb326bea45355ea102627b2ec1dbf,Twin
cd066b9a982610725c136e3bcd621966,""
cd09aa9c715e1a2719a52e7b04c4558f,""
cd298c78ac25145e94bc5ff70908d94c,""
cd298c78ac25145e94bc5ff70967c84c,""
cd3d3885df09808933e4125e4fe0bd32,Twin
cd5743396a771dd3690ef59cfa104c99,""
cd5743396a771dd3690ef59cfa1050b9,Second Twin
cd5743396a771dd3690ef59cfa10582d,Twin
cd5743396a771dd3690ef59cfa10720a,""
cd5743396a771dd3690ef59cfa108042,""
cd5f3ea2d1acf13b0b78d8477f966145,Second Twin
cd5f3ea2d1acf13b0b78d8477f96618e,Twin
cd6bf9c091b50b3346726253dc437127,""
cd6bf9c091b50b3346726253dc83f027,""
